model,accuracy,precision,recall,f1_score,specificity
LogReg_gd_fixed,98.23,97.62,97.62,97.62,98.59
LogReg_newton,89.38,80.00,95.24,86.96,85.92
LogReg_PCA10,98.23,97.62,97.62,97.62,98.59
LinReg_normal,95.58,97.44,90.48,93.83,98.59
LinReg_gd_fixed,94.69,100.00,85.71,92.31,100.00
LinReg_gc,95.58,97.44,90.48,93.83,98.59
LinReg_newton,95.58,97.44,90.48,93.83,98.59
KNN_k3,94.69,92.86,92.86,92.86,95.77
KNN_k5,94.69,92.86,92.86,92.86,95.77
KNN_k9,96.46,95.24,95.24,95.24,97.18
SVM_rbf,98.23,100.00,95.24,97.56,100.00
RandomForest,96.46,97.50,92.86,95.12,98.59
LinReg_gd_fixed_a01,96.46,97.50,92.86,95.12,98.59
LinReg_sgd,95.58,100.00,88.10,93.67,100.00
LinReg_gd_var_armijo,96.46,97.50,92.86,95.12,98.59
LinReg_gd_var_gold,96.46,97.50,92.86,95.12,98.59
LinReg_gd_optimal,75.22,100.00,33.33,50.00,100.00
LinReg_newton_pure,95.58,97.44,90.48,93.83,98.59
LinReg_tikh_001,94.69,100.00,85.71,92.31,100.00
LinReg_tikh_01,94.69,100.00,85.71,92.31,100.00
LinReg_tikh_10,84.96,100.00,59.52,74.63,100.00
KNN_k3_euclidean,94.69,92.86,92.86,92.86,95.77
KNN_k3_euclidean_w,94.69,92.86,92.86,92.86,95.77
KNN_k3_manhattan,96.46,95.24,95.24,95.24,97.18
KNN_k3_manhattan_w,96.46,95.24,95.24,95.24,97.18
KNN_k3_chebyshev,92.92,92.50,88.10,90.24,95.77
KNN_k3_chebyshev_w,92.92,92.50,88.10,90.24,95.77
KNN_k3_minkowski_p3,94.69,92.86,92.86,92.86,95.77
KNN_k3_minkowski_w_p3,94.69,92.86,92.86,92.86,95.77
KNN_k5_euclidean,94.69,92.86,92.86,92.86,95.77
KNN_k5_euclidean_w,94.69,92.86,92.86,92.86,95.77
KNN_k5_manhattan,96.46,95.24,95.24,95.24,97.18
KNN_k5_manhattan_w,96.46,95.24,95.24,95.24,97.18
KNN_k5_chebyshev,92.04,90.24,88.10,89.16,94.37
KNN_k5_chebyshev_w,92.04,90.24,88.10,89.16,94.37
KNN_k5_minkowski_p3,94.69,92.86,92.86,92.86,95.77
KNN_k5_minkowski_w_p3,94.69,92.86,92.86,92.86,95.77
KNN_k9_euclidean,96.46,95.24,95.24,95.24,97.18
KNN_k9_euclidean_w,96.46,95.24,95.24,95.24,97.18
KNN_k9_manhattan,96.46,95.24,95.24,95.24,97.18
KNN_k9_manhattan_w,96.46,95.24,95.24,95.24,97.18
KNN_k9_chebyshev,92.04,92.31,85.71,88.89,95.77
KNN_k9_chebyshev_w,92.04,92.31,85.71,88.89,95.77
KNN_k9_minkowski_p3,95.58,95.12,92.86,93.98,97.18
KNN_k9_minkowski_w_p3,95.58,95.12,92.86,93.98,97.18
